t Vext G_frac
5.01005e-02 1.00462e-02 0.00000e+00
5.01077e-02 1.07722e-02 0.00000e+00
5.01155e-02 1.15506e-02 0.00000e+00
5.01239e-02 1.23854e-02 0.00000e+00
5.01328e-02 1.32804e-02 0.00000e+00
5.01424e-02 1.42402e-02 0.00000e+00
5.01527e-02 1.52693e-02 0.00000e+00
5.01637e-02 1.63727e-02 0.00000e+00
5.01756e-02 1.75560e-02 0.00000e+00
5.01882e-02 1.88247e-02 0.00000e+00
5.02019e-02 2.01851e-02 0.00000e+00
5.02164e-02 2.16438e-02 0.00000e+00
5.02321e-02 2.32079e-02 0.00000e+00
5.02489e-02 2.48851e-02 0.00000e+00
5.02668e-02 2.66835e-02 0.00000e+00
5.02861e-02 2.86118e-02 0.00000e+00
5.03068e-02 3.06795e-02 0.00000e+00
5.03290e-02 3.28967e-02 0.00000e+00
5.03527e-02 3.52740e-02 0.00000e+00
5.03782e-02 3.78232e-02 0.00000e+00
5.04056e-02 4.05565e-02 0.00000e+00
5.04349e-02 4.34875e-02 0.00000e+00
5.04663e-02 4.66302e-02 0.00000e+00
5.05000e-02 5.00000e-02 0.00000e+00
5.05361e-02 5.36134e-02 0.00000e+00
5.05749e-02 5.74878e-02 0.00000e+00
5.06164e-02 6.16423e-02 0.00000e+00
5.06610e-02 6.60971e-02 0.00000e+00
5.07087e-02 7.08737e-02 0.00000e+00
5.07600e-02 7.59956e-02 0.00000e+00
5.08149e-02 8.14875e-02 0.00000e+00
5.08738e-02 8.73764e-02 0.00000e+00
5.09369e-02 9.36909e-02 0.00000e+00
5.10046e-02 1.00462e-01 0.00000e+00
5.10772e-02 1.07722e-01 0.00000e+00
5.11551e-02 1.15506e-01 0.00000e+00
5.12385e-02 1.23854e-01 0.00000e+00
5.13280e-02 1.32804e-01 0.00000e+00
5.14240e-02 1.42402e-01 0.00000e+00
5.15269e-02 1.52693e-01 0.00000e+00
5.16373e-02 1.63727e-01 0.00000e+00
5.17556e-02 1.75560e-01 0.00000e+00
5.18825e-02 1.88247e-01 0.00000e+00
5.20185e-02 2.01851e-01 0.00000e+00
5.21644e-02 2.16438e-01 0.00000e+00
5.23208e-02 2.32079e-01 0.00000e+00
5.24885e-02 2.48851e-01 0.00000e+00
5.26683e-02 2.66835e-01 0.00000e+00
5.28612e-02 2.86118e-01 0.00000e+00
5.30680e-02 3.06795e-01 0.00000e+00
5.32897e-02 3.28967e-01 0.00000e+00
5.35274e-02 3.52740e-01 0.00000e+00
5.37823e-02 3.78232e-01 0.00000e+00
5.40557e-02 4.05565e-01 0.00000e+00
5.43487e-02 4.34875e-01 0.00000e+00
5.46630e-02 4.66302e-01 0.00000e+00
5.50000e-02 5.00000e-01 0.00000e+00
5.53613e-02 5.36134e-01 0.00000e+00
5.57488e-02 5.74878e-01 0.00000e+00
5.61642e-02 6.16423e-01 0.00000e+00
5.66097e-02 6.60971e-01 0.00000e+00
5.70874e-02 7.08737e-01 0.00000e+00
5.75996e-02 7.59956e-01 0.00000e+00
5.81488e-02 8.14875e-01 0.00000e+00
5.87376e-02 8.73764e-01 0.00000e+00
5.93691e-02 9.36909e-01 0.00000e+00
6.00462e-02 1.00462e+00 0.00000e+00
6.07722e-02 1.07722e+00 0.00000e+00
6.15506e-02 1.15506e+00 0.00000e+00
6.23854e-02 1.23854e+00 0.00000e+00
6.32804e-02 1.32804e+00 0.00000e+00
6.42402e-02 1.42402e+00 0.00000e+00
6.52693e-02 1.52693e+00 0.00000e+00
6.63727e-02 1.63727e+00 0.00000e+00
6.75560e-02 1.75560e+00 0.00000e+00
6.88247e-02 1.88247e+00 0.00000e+00
7.01851e-02 2.01851e+00 0.00000e+00
7.16438e-02 2.16438e+00 0.00000e+00
7.32079e-02 2.32079e+00 0.00000e+00
7.48851e-02 2.48851e+00 0.00000e+00
7.66835e-02 2.66835e+00 0.00000e+00
7.86118e-02 2.86118e+00 0.00000e+00
8.06795e-02 3.06795e+00 0.00000e+00
8.28967e-02 3.28967e+00 0.00000e+00
8.52740e-02 3.52740e+00 0.00000e+00
8.78232e-02 3.78232e+00 0.00000e+00
9.05565e-02 4.05565e+00 0.00000e+00
9.34875e-02 4.34875e+00 0.00000e+00
9.66302e-02 4.66302e+00 0.00000e+00
1.00000e-01 5.00000e+00 0.00000e+00
