t Vext G_frac
5.09369e+00 9.36909e-02 0.00000e+00
5.10046e+00 1.00462e-01 0.00000e+00
5.10772e+00 1.07722e-01 0.00000e+00
5.11551e+00 1.15506e-01 0.00000e+00
5.12385e+00 1.23854e-01 0.00000e+00
5.13280e+00 1.32804e-01 0.00000e+00
5.14240e+00 1.42402e-01 0.00000e+00
5.15269e+00 1.52693e-01 0.00000e+00
5.16373e+00 1.63727e-01 0.00000e+00
5.17556e+00 1.75560e-01 0.00000e+00
5.18825e+00 1.88247e-01 0.00000e+00
5.20185e+00 2.01851e-01 0.00000e+00
5.21644e+00 2.16438e-01 0.00000e+00
5.23208e+00 2.32079e-01 0.00000e+00
5.24885e+00 2.48851e-01 0.00000e+00
5.26683e+00 2.66835e-01 0.00000e+00
5.28612e+00 2.86118e-01 0.00000e+00
5.30680e+00 3.06795e-01 0.00000e+00
5.32897e+00 3.28967e-01 0.00000e+00
5.35274e+00 3.52740e-01 0.00000e+00
5.37823e+00 3.78232e-01 0.00000e+00
5.40557e+00 4.05565e-01 0.00000e+00
5.43487e+00 4.34875e-01 0.00000e+00
5.46630e+00 4.66302e-01 0.00000e+00
5.50000e+00 5.00000e-01 0.00000e+00
5.53613e+00 5.36134e-01 0.00000e+00
5.57488e+00 5.74878e-01 0.00000e+00
5.61642e+00 6.16423e-01 0.00000e+00
5.66097e+00 6.60971e-01 0.00000e+00
5.70874e+00 7.08737e-01 0.00000e+00
5.75996e+00 7.59956e-01 0.00000e+00
5.81488e+00 8.14875e-01 0.00000e+00
5.87376e+00 8.73764e-01 0.00000e+00
5.93691e+00 9.36909e-01 0.00000e+00
6.00462e+00 1.00462e+00 0.00000e+00
6.07722e+00 1.07722e+00 0.00000e+00
6.15506e+00 1.15506e+00 0.00000e+00
6.23854e+00 1.23854e+00 0.00000e+00
6.32804e+00 1.32804e+00 0.00000e+00
6.42402e+00 1.42402e+00 0.00000e+00
6.52693e+00 1.52693e+00 0.00000e+00
6.63727e+00 1.63727e+00 0.00000e+00
6.75560e+00 1.75560e+00 0.00000e+00
6.88247e+00 1.88247e+00 0.00000e+00
7.01851e+00 2.01851e+00 0.00000e+00
7.16438e+00 2.16438e+00 0.00000e+00
7.32079e+00 2.32079e+00 0.00000e+00
7.48851e+00 2.48851e+00 0.00000e+00
7.66835e+00 2.66835e+00 0.00000e+00
7.86118e+00 2.86118e+00 0.00000e+00
8.06795e+00 3.06795e+00 0.00000e+00
8.28967e+00 3.28967e+00 0.00000e+00
8.52740e+00 3.52740e+00 0.00000e+00
8.78232e+00 3.78232e+00 0.00000e+00
9.05565e+00 4.05565e+00 0.00000e+00
9.34875e+00 4.34875e+00 0.00000e+00
9.66302e+00 4.66302e+00 0.00000e+00
1.00000e+01 5.00000e+00 0.00000e+00
